"id","tag_id","tag_name","tag_description","value_representation"
67,"(0014,1010)","ActualEnvironmentalConditions","Actual Environmental Conditions","ST"
68,"(0018,1242)","ActualFrameDuration","Actual Frame Duration","IS"
69,"(0040,4035)","ActualHumanPerformersSequence","Actual Human Performers Sequence","SQ"
70,"(0020,9257)","ActualRespiratoryTriggerDelayTime","Actual Respiratory Trigger Delay Time","FD"
71,"(0028,0730)","AdaptiveMapFormat","Adaptive Map Format","US"
72,"(0046,0101)","AddIntermediateSequence","Add Intermediate Sequence","SQ"
73,"(0046,0100)","AddNearSequence","Add Near Sequence","SQ"
74,"(0046,0102)","AddOtherSequence","Add Other Sequence","SQ"
75,"(0046,0104)","AddPower","Add Power","FD"
76,"(0018,002A)","AdditionalDrugSequence","Additional Drug Sequence","SQ"
77,"(4010,106F)","AdditionalInspectionMethodSequence","Additional Inspection Method Sequence","SQ"
78,"(4010,106E)","AdditionalInspectionSelectionCriteria","Additional Inspection Selection Criteria","CS"
79,"(0010,21B0)","AdditionalPatientHistory","Additional Patient History","LT"
80,"(4010,106D)","AdditionalScreeningPerformed","Additional Screening Performed","CS"
81,"(0040,A353)","AddressTrial","Address (Trial)","ST"
82,"(0054,0302)","AdministrationRouteCodeSequence","Administration Route Code Sequence","SQ"
83,"(0038,0010)","AdmissionID","Admission ID","LO"
84,"(0038,0020)","AdmittingDate","Admitting Date","DA"
85,"(0008,1084)","AdmittingDiagnosesCodeSequence","Admitting Diagnoses Code Sequence","SQ"
86,"(0008,1080)","AdmittingDiagnosesDescription","Admitting Diagnoses Description","LO"
87,"(0038,0021)","AdmittingTime","Admitting Time","TM"
88,"(0024,0065)","AgeCorrectedSensitivityDeviationAlgorithmSequence","Age Corrected Sensitivity Deviation Algorithm Sequence","SQ"
89,"(0024,0100)","AgeCorrectedSensitivityDeviationProbabilityValue","Age Corrected Sensitivity Deviation Probability Value","FL"
90,"(0024,0092)","AgeCorrectedSensitivityDeviationValue","Age Corrected Sensitivity Deviation Value","FL"
91,"(0014,3070)","AirCounts","Air Counts","OB or OW"
92,"(4010,1031)","AlarmDecision","Alarm Decision","CS"
93,"(4010,102B)","AlarmDecisionTime","Alarm Decision Time","DT"
94,"(0040,A296)","AlgorithmCodeSequenceTrial","Algorithm Code Sequence (Trial)","SQ"
95,"(0018,9528)","AlgorithmDescription","Algorithm Description","LO"
96,"(0040,A297)","AlgorithmDescriptionTrial","Algorithm Description (Trial)","ST"
97,"(0066,002F)","AlgorithmFamilyCodeSequence","Algorithm Family Code Sequence","SQ"
98,"(0066,0036)","AlgorithmName","Algorithm Name","LO"
99,"(0066,0030)","AlgorithmNameCodeSequence","Algorithm Name Code Sequence","SQ"
100,"(0066,0032)","AlgorithmParameters","Algorithm Parameters","LT"
101,"(4010,1064)","AlgorithmRoutingCodeSequence","Algorithm Routing Code Sequence","SQ"
102,"(0024,0202)","AlgorithmSource","Algorithm Source","LO"
103,"(0018,9527)","AlgorithmType","Algorithm Type","CS"
104,"(0066,0031)","AlgorithmVersion","Algorithm Version","LO"
105,"(0018,980B)","AliasedDataType","Aliased Data Type","CS"
106,"(0010,2110)","Allergies","Allergies","LO"
107,"(2200,000F)","AllowLossyCompression","Allow Lossy Compression","CS"
108,"(2200,0007)","AllowMediaSplitting","Allow Media Splitting","CS"
109,"(0022,0037)","AlongScanSpatialResolution","Along-scan Spatial Resolution","FL"
110,"(0028,1410)","AlphaLUTTransferFunction","Alpha LUT Transfer Function","CS"
111,"(0028,1204)","AlphaPaletteColorLookupTableData","Alpha Palette Color Lookup Table Data","OW"
112,"(0028,1104)","AlphaPaletteColorLookupTableDescriptor","Alpha​Palette Color​Lookup Table Descriptor","US"
113,"(0040,0515)","AlternateContainerIdentifierSequence","Alternate Container Identifier Sequence","SQ"
114,"(0070,0087)","AlternateContentDescriptionSequence","Alternate Content Description Sequence","SQ"
115,"(0008,3001)","AlternateRepresentationSequence","Alternate Representation Sequence","SQ"
116,"(0014,400A)","AmplifierType","Amplifier Type","CS"
117,"(0046,0227)","AnalyzedArea","Analyzed Area","FL"
118,"(0008,2255)","AnatomicApproachDirectionCodeSequenceTrial","Anatomic Approach Direction Code Sequence (Trial)","SQ"
119,"(0008,2259)","AnatomicLocationOfExaminingInstrumentCodeSequenceTrial","Anatomic Location Of Examining Instrument Code Sequence (Trial)","SQ"
120,"(0008,2258)","AnatomicLocationOfExaminingInstrumentDescriptionTrial","Anatomic Location Of Examining Instrument Description (Trial)","ST"
121,"(0008,2257)","AnatomicPerspectiveCodeSequenceTrial","Anatomic Perspective Code Sequence (Trial)","SQ"
122,"(0008,2256)","AnatomicPerspectiveDescriptionTrial","Anatomic Perspective Description (Trial)","ST"
123,"(0008,2253)","AnatomicPortalOfEntranceCodeSequenceTrial","Anatomic Portal Of Entrance Code Sequence (Trial)","SQ"
124,"(0008,2220)","AnatomicRegionModifierSequence","Anatomic Region Modifier Sequence","SQ"
125,"(0008,2218)","AnatomicRegionSequence","Anatomic Region Sequence","SQ"
126,"(0008,2208)","AnatomicStructure","Anatomic Structure","CS"
127,"(0022,1463)","AnatomicStructureReferencePoint","Anatomic Structure Reference Point","FL"
128,"(0008,2251)","AnatomicStructureSpaceOrRegionCodeSequenceTrial","Anatomic Structure Space Or Region Code Sequence (Trial)","SQ"
129,"(0008,225A)","AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial","Anatomic Structure Space Or Region Modifier Code Sequence (Trial)","SQ"
130,"(0008,2229)","AnatomicStructureSpaceOrRegionSequence","Anatomic Structure, Space or Region Sequence","SQ"
131,"(0010,2210)","AnatomicalOrientationType","Anatomical Orientation Type","CS"
132,"(0070,0014)","AnchorPoint","Anchor Point","FL"
133,"(0070,0004)","AnchorPointAnnotationUnits","Anchor Point Annotation Units","CS"
134,"(0070,0015)","AnchorPointVisibility","Anchor Point Visibility","CS"
135,"(0018,0025)","AngioFlag","Angio Flag","CS"
136,"(0020,0018)","AngleNumber","Angle Number","IS"
137,"(0018,1141)","AngularPosition","Angular Position","DS"
138,"(0018,1144)","AngularStep","Angular Step","DS"
139,"(0054,0090)","AngularViewVector","Angular View Vector","US"
140,"(2130,0050)","AnnotationContentSequence","Annotation Content Sequence","SQ"
141,"(2010,0030)","AnnotationDisplayFormatID","Annotation Display Format ID","CS"
142,"(2000,0065)","AnnotationFlag","Annotation Flag","CS"
143,"(0040,A180)","AnnotationGroupNumber","Annotation Group Number","US"
144,"(2030,0010)","AnnotationPosition","Annotation Position","US"
145,"(0018,1191)","AnodeTargetMaterial","Anode Target Material","CS"
146,"(4010,107A)","AnomalyLocatorIndicator","Anomaly Locator Indicator","FL"
147,"(4010,1079)","AnomalyLocatorIndicatorSequence","Anomaly Locator Indicator Sequence","SQ"
148,"(0022,1131)","AnteriorChamberDepth","Anterior Chamber Depth","FL"
149,"(0022,1125)","AnteriorChamberDepthDefinitionCodeSequence","Anterior Chamber Depth Definition Code Sequence","SQ"
150,"(0022,1128)","AnteriorChamberDepthSequence","Anterior Chamber Depth Sequence","SQ"
151,"(0020,9308)","ApexPosition","Apex Position","FD"
152,"(0028,6102)","ApplicableFrameRange","Applicable Frame Range","US"
153,"(0018,9174)","ApplicableSafetyStandardAgency","Applicable Safety Standard Agency","CS"
154,"(0018,9175)","ApplicableSafetyStandardDescription","Applicable Safety Standard Description","LO"
155,"(0018,9526)","ApplicationManufacturer","Application Manufacturer","LO"
156,"(0072,010E)","ApplicationMaximumRepaintTime","Application Maximum Repaint Time","US"
157,"(0018,9524)","ApplicationName","Application Name","LO"
158,"(3008,0116)","ApplicationSetupCheck","Application Setup Check","CS"
159,"(300A,0238)","ApplicationSetupManufacturer","Application Setup Manufacturer","LO"
160,"(300A,0236)","ApplicationSetupName","Application Setup Name","LO"
161,"(300A,0234)","ApplicationSetupNumber","Application Setup Number","IS"
162,"(300A,0230)","ApplicationSetupSequence","Application Setup Sequence","SQ"
163,"(300A,0232)","ApplicationSetupType","Application Setup Type","CS"
164,"(0018,9525)","ApplicationVersion","Application Version","LO"
165,"(300A,0432)","ApplicatorApertureShape","Applicator Aperture Shape","CS"
166,"(300A,010A)","ApplicatorDescription","Applicator Description","LO"
167,"(300A,0431)","ApplicatorGeometrySequence","Applicator Geometry Sequence","SQ"
168,"(300A,0108)","ApplicatorID","Applicator ID","SH"
169,"(300A,0433)","ApplicatorOpening","Applicator Opening","FL"
170,"(300A,0434)","ApplicatorOpeningX","Applicator Opening X","FL"
171,"(300A,0435)","ApplicatorOpeningY","Applicator Opening Y","FL"
172,"(300A,0107)","ApplicatorSequence","Applicator Sequence","SQ"
173,"(300A,0109)","ApplicatorType","Applicator Type","CS"
174,"(300E,0002)","ApprovalStatus","Approval Status","CS"
175,"(0044,0004)","ApprovalStatusDateTime","Approval Status DateTime","DT"
176,"(0044,0003)","ApprovalStatusFurtherDescription","Approval Status Further Description","LT"
177,"(4000,0010)","Arbitrary","Arbitrary","LT"
178,"(0040,A494)","ArchiveRequested","Archive Requested","CS"
179,"(0018,9250)","ArterialSpinLabelingContrast","Arterial Spin Labeling Contrast","CS"
180,"(4010,102A)","AssignedLocation","Assigned Location","SH"
181,"(0040,003A)","AssigningAgencyOrDepartmentCodeSequence","Assigning Agency or Department Code Sequence","SQ"
182,"(0040,0036)","AssigningFacilitySequence","Assigning Facility Sequence","SQ"
183,"(0040,0039)","AssigningJurisdictionCodeSequence","Assigning Jurisdiction Code Sequence","SQ"
184,"(3006,0049)","AttachedContours","Attached Contours","IS"
185,"(0018,9759)","AttenuationCorrected","Attenuation Corrected","CS"
186,"(0054,1101)","AttenuationCorrectionMethod","Attenuation Correction Method","LO"
187,"(0018,9738)","AttenuationCorrectionSource","Attenuation Correction Source","CS"
188,"(0018,9770)","AttenuationCorrectionTemporalRelationship","Attenuation Correction Temporal Relationship","CS"
189,"(0074,1054)","AttributeItemSelector","Attribute Item Selector","UL"
190,"(0400,0562)","AttributeModificationDateTime","Attribute Modification DateTime","DT"
191,"(0074,1052)","AttributeOccurrencePointer","Attribute Occurrence Pointer","AT"
192,"(0074,1056)","AttributeOccurrencePrivateCreator","Attribute Occurrence Private Creator","LO"
193,"(0074,1050)","AttributeOccurrenceSequence","Attribute Occurrence Sequence","SQ"
194,"(50xx,200E)","AudioComments","Audio Comments","LT"
195,"(50xx,200C)","AudioSampleData","Audio Sample Data","OB or OW"
196,"(50xx,2002)","AudioSampleFormat","Audio Sample Format","US"
197,"(50xx,2000)","AudioType","Audio Type","US"
198,"(0040,A078)","AuthorObserverSequence","Author Observer Sequence","SQ"
199,"(0100,0426)","AuthorizationEquipmentCertificationNumber","Authorization Equipment Certification Number","LO"
200,"(0046,0052)","AutorefractionLeftEyeSequence","Autorefraction Left Eye Sequence","SQ"
201,"(0046,0050)","AutorefractionRightEyeSequence","Autorefraction Right Eye Sequence","SQ"
202,"(0074,1025)","AutosequenceFlag","Autosequence Flag","CS"
203,"(300A,008D)","AverageBeamDosePointDepth","Average Beam Dose Point Depth","FL"
204,"(300A,008E)","AverageBeamDosePointEquivalentDepth","Average Beam Dose Point Equivalent Depth","FL"
205,"(300A,008F)","AverageBeamDosePointSSD","Average Beam Dose Point SSD","FL"
206,"(0046,0220)","AverageCornealPower","Average Corneal Power","FL"
207,"(0018,1154)","AveragePulseWidth","Average Pulse Width","DS"
208,"(0054,1200)","AxialAcceptance","Axial Acceptance","DS"
209,"(0018,9727)","AxialDetectorDimension","Axial Detector Dimension","FD"
210,"(0022,0030)","AxialLengthOfTheEye","Axial Length of the Eye","FL"
211,"(0054,1201)","AxialMash","Axial Mash","IS"
212,"(0046,0249)","AxialPower","Axial Power","FL"
213,"(0052,0008)","AxialResolution","Axial Resolution","FD"
214,"(50xx,0040)","AxisLabels","Axis Labels","SH"
215,"(0066,001B)","AxisOfRotation","Axis of Rotation","FL"
216,"(50xx,0030)","AxisUnits","Axis Units","SH"
217,"(0046,0092)","BackgroundColor","Background Color","CS"
218,"(0024,0024)","BackgroundIlluminationColorCodeSequence","Background Illumination Color Code Sequence","SQ"
219,"(0024,0020)","BackgroundLuminance","Background Luminance","FL"
220,"(0014,3080)","BadPixelImage","Bad Pixel Image","OB"
221,"(2200,0006)","BarcodeSymbology","Barcode Symbology","CS"
222,"(2200,0005)","BarcodeValue","Barcode Value","LT"
223,"(0018,9067)","BaselineCorrection","Baseline Correction","CS"
224,"(2020,0111)","BasicColorImageSequence","Basic Color Image Sequence","SQ"
225,"(2020,0110)","BasicGrayscaleImageSequence","Basic Grayscale Image Sequence","SQ"
226,"(4010,1045)","BasisMaterialsCodeSequence","Basis Materials Code Sequence","SQ"
227,"(0018,9449)","BeamAngle","Beam Angle","FL"
228,"(300A,034C)","BeamCurrentModulationID","Beam Current Modulation ID","SH"
229,"(300A,00C3)","BeamDescription","Beam Description","ST"
230,"(300A,0084)","BeamDose","Beam Dose","DS"
231,"(300A,008B)","BeamDoseMeaning","Beam Dose Meaning","CS"
232,"(300A,0088)","BeamDosePointDepth","Beam Dose Point Depth","FL"
233,"(300A,0089)","BeamDosePointEquivalentDepth","Beam Dose Point Equivalent Depth","FL"
234,"(300A,008A)","BeamDosePointSSD","Beam Dose Point SSD","FL"
235,"(300A,0082)","BeamDoseSpecificationPoint","Beam Dose Specification Point","DS"
236,"(300A,008C)","BeamDoseVerificationControlPointSequence","Beam Dose Verification Control Point Sequence","SQ"
237,"(300A,0120)","BeamLimitingDeviceAngle","Beam Limiting Device Angle","DS"
238,"(300A,0046)","BeamLimitingDeviceAngleTolerance","Beam Limiting Device Angle Tolerance","DS"
239,"(3008,00A0)","BeamLimitingDeviceLeafPairsSequence","Beam Limiting Device Leaf Pairs Sequence","SQ"
240,"(300A,011A)","BeamLimitingDevicePositionSequence","Beam Limiting Device Position Sequence","SQ"
241,"(300A,004A)","BeamLimitingDevicePositionTolerance","Beam Limiting Device Position Tolerance","DS"
242,"(300A,0121)","BeamLimitingDeviceRotationDirection","Beam Limiting Device Rotation Direction","CS"
243,"(300A,00B6)","BeamLimitingDeviceSequence","Beam Limiting Device Sequence","SQ"
244,"(300A,0048)","BeamLimitingDeviceToleranceSequence","Beam Limiting Device Tolerance Sequence","SQ"
245,"(300A,0086)","BeamMeterset","Beam Meterset","DS"
246,"(300A,00C2)","BeamName","Beam Name","LO"
247,"(300A,00C0)","BeamNumber","Beam Number","IS"
248,"(0074,1324)","BeamOrderIndex","Beam Order Index","UL"
249,"(0074,1024)","BeamOrderIndexTrial","Beam Order Index (Trial)","IS"
250,"(300A,00B0)","BeamSequence","Beam Sequence","SQ"
251,"(0052,0003)","BeamSpotSize","Beam Spot Size","FD"
252,"(3008,0230)","BeamStopperPosition","Beam Stopper Position","CS"
253,"(0074,1020)","BeamTaskSequence","Beam Task Sequence","SQ"
254,"(0074,1022)","BeamTaskType","Beam Task Type","CS"
255,"(300A,00C4)","BeamType","Beam Type","CS"
256,"(0018,1080)","BeatRejectionFlag","Beat Rejection Flag","CS"
257,"(4010,1062)","BeltHeight","Belt Height","FL"
258,"(0028,5000)","BiPlaneAcquisitionSequence","Bi-Plane Acquisition Sequence","SQ"
259,"(0040,A16A)","BibliographicCitationTrial","Bibliographic Citation (Trial)","ST"
260,"(0040,0296)","BillingItemSequence","Billing Item Sequence","SQ"
261,"(0040,0320)","BillingProcedureStepSequence","Billing Procedure Step Sequence","SQ"
262,"(0040,0324)","BillingSuppliesAndDevicesSequence","Billing Supplies and Devices Sequence","SQ"
263,"(0018,2041)","BiopsyTargetSequence","Biopsy Target Sequence","SQ"
264,"(0028,0100)","BitsAllocated","Bits Allocated","US"
265,"(0028,08x4)","BitsForCodeWord","Bits For Code Word","US"
266,"(0028,0069)","BitsGrouped","Bits Grouped","US"
267,"(0028,1403)","BitsMappedToColorLookupTable","Bits Mapped to Color Lookup Table","US"
268,"(0028,0101)","BitsStored","Bits Stored","US"
269,"(0028,1404)","BlendingLUT1Sequence","Blending LUT 1 Sequence","SQ"
270,"(0028,1405)","BlendingLUT1TransferFunction","Blending LUT 1 Transfer Function","CS"
271,"(0028,140C)","BlendingLUT2Sequence","Blending LUT 2 Sequence","SQ"
272,"(0028,140D)","BlendingLUT2TransferFunction","Blending LUT 2 Transfer Function","CS"
273,"(0028,1408)","BlendingLookupTableData","Blending Lookup Table Data","OW"
274,"(0028,1407)","BlendingLookupTableDescriptor","Blending Lookup Table Descriptor","US"
275,"(0072,0500)","BlendingOperationType","Blending Operation Type","CS"
276,"(0070,0405)","BlendingPosition","Blending Position","CS"
277,"(0070,0402)","BlendingSequence","Blending Sequence","SQ"
278,"(0028,1406)","BlendingWeightConstant","Blending Weight Constant","FD"
279,"(0024,0106)","BlindSpotLocalized","Blind Spot Localized","CS"
280,"(0024,0107)","BlindSpotXCoordinate","Blind Spot X-Coordinate","FL"
281,"(0024,0108)","BlindSpotYCoordinate","Blind Spot Y-Coordinate","FL"
282,"(0028,0092)","BlockColumns","Block Columns","US"
283,"(300A,0106)","BlockData","Block Data","DS"
284,"(300A,00FA)","BlockDivergence","Block Divergence","CS"
285,"(300A,00FB)","BlockMountingPosition","Block Mounting Position","CS"
286,"(300A,00FE)","BlockName","Block Name","LO"
287,"(300A,00FC)","BlockNumber","Block Number","IS"
288,"(300A,0104)","BlockNumberOfPoints","Block Number of Points","IS"
289,"(0028,0091)","BlockRows","Block Rows","US"
290,"(300A,00F4)","BlockSequence","Block Sequence","SQ"
291,"(300A,0100)","BlockThickness","Block Thickness","DS"
292,"(300A,0102)","BlockTransmission","Block Transmission","DS"
293,"(300A,00F5)","BlockTrayID","Block Tray ID","SH"
294,"(300A,00F8)","BlockType","Block Type","CS"
295,"(0028,0090)","BlockedPixels","Blocked Pixels","CS"
296,"(0018,9022)","BloodSignalNulling","Blood Signal Nulling","CS"
297,"(0028,1203)","BluePaletteColorLookupTableData","Blue Palette Color Lookup Table Data","OW"
298,"(0028,1103)","BluePaletteColorLookupTableDescriptor","Blue Palette Color Lookup Table Descriptor","US or SS"
299,"(4010,101A)","BoardingPassID","Boarding Pass ID","SH"
300,"(0018,0015)","BodyPartExamined","Body Part Examined","CS"
301,"(0018,11A0)","BodyPartThickness","Body Part Thickness","DS"
302,"(0070,0249)","Bold","Bold","CS"
303,"(300A,00DD)","BolusDescription","Bolus Description","ST"
304,"(300A,00DC)","BolusID","Bolus ID","SH"
305,"(0018,5024)","BoneThermalIndex","Bone Thermal Index","DS"
306,"(2010,0100)","BorderDensity","Border Density","CS"
307,"(0048,0202)","BottomRightHandCornerOfLocalizerArea","Bottom Right Hand Corner of Localizer Area","US"
308,"(0070,0003)","BoundingBoxAnnotationUnits","Bounding Box Annotation Units","CS"
309,"(0070,0011)","BoundingBoxBottomRightHandCorner","Bounding Box Bottom Right Hand Corner","FL"
310,"(0070,0012)","BoundingBoxTextHorizontalJustification","Bounding Box Text Horizontal Justification","CS"
311,"(0070,0010)","BoundingBoxTopLeftHandCorner","Bounding Box Top Left Hand Corner","FL"
312,"(4010,101D)","BoundingPolygon","Bounding Polygon","FL"
313,"(0068,6347)","BoundingRectangle","Bounding Rectangle","FD"
314,"(300A,0263)","BrachyAccessoryDeviceID","Brachy Accessory Device ID","SH"
315,"(300A,0266)","BrachyAccessoryDeviceName","Brachy Accessory Device Name","LO"
316,"(300A,026A)","BrachyAccessoryDeviceNominalThickness","Brachy Accessory Device Nominal Thickness","DS"
317,"(300A,026C)","BrachyAccessoryDeviceNominalTransmission","Brachy Accessory Device Nominal Transmission","DS"
318,"(300A,0262)","BrachyAccessoryDeviceNumber","Brachy Accessory Device Number","IS"
319,"(300A,0260)","BrachyAccessoryDeviceSequence","Brachy Accessory Device Sequence","SQ"
320,"(300A,0264)","BrachyAccessoryDeviceType","Brachy Accessory Device Type","CS"
321,"(300A,00A4)","BrachyApplicationSetupDose","Brachy Application Setup Dose","DS"
322,"(300A,00A2)","BrachyApplicationSetupDoseSpecificationPoint","Brachy Application Setup Dose Specification Point","DS"
323,"(3008,0160)","BrachyControlPointDeliveredSequence","Brachy Control Point Delivered Sequence","SQ"
324,"(300A,02D0)","BrachyControlPointSequence","Brachy Control Point Sequence","SQ"
325,"(300C,0055)","BrachyReferencedDoseReferenceSequence","Brachy Referenced Dose Reference Sequence","SQ"
326,"(300A,0200)","BrachyTreatmentTechnique","Brachy Treatment Technique","CS"
327,"(300A,0202)","BrachyTreatmentType","Brachy Treatment Type","CS"
328,"(0010,1081)","BranchOfService","Branch of Service","LO"
329,"(0028,1300)","BreastImplantPresent","Breast Implant Present","CS"
330,"(0010,2295)","BreedRegistrationNumber","Breed Registration Number","LO"
331,"(0010,2294)","BreedRegistrationSequence","Breed Registration Sequence","SQ"
332,"(0010,2296)","BreedRegistryCodeSequence","Breed Registry Code Sequence","SQ"
333,"(0014,4088)","BridgeResistors","Bridge Resistors","DS"
334,"(0018,9172)","BulkMotionCompensationTechnique","Bulk Motion Compensation Technique","CS"
335,"(0018,9173)","BulkMotionSignalSource","Bulk Motion Signal Source","CS"
336,"(0018,9166)","BulkMotionStatus","Bulk Motion Status","CS"
337,"(0028,0301)","BurnedInAnnotation","Burned In Annotation","CS"
338,"(0014,0023)","CADFileFormat","CAD File Format","ST"
339,"(0018,9474)","CArmPositionerTabletopRelationship","C-arm Positioner Tabletop Relationship","CS"
340,"(0070,0229)","CSSFontName","CSS Font Name","LO"
341,"(0018,9304)","CTAcquisitionDetailsSequence","CT Acquisition Details Sequence","SQ"
342,"(0018,9301)","CTAcquisitionTypeSequence","CT Acquisition Type Sequence","SQ"
343,"(0018,9360)","CTAdditionalXRaySourceSequence","CT Additional X-Ray Source Sequence","SQ"
344,"(0018,9346)","CTDIPhantomTypeCodeSequence","CTDI Phantom Type Code Sequence","SQ"
345,"(0018,9345)","CTDIvol","CTD​Ivol","FD"
346,"(0018,9321)","CTExposureSequence","CT Exposure Sequence","SQ"
347,"(0018,9312)","CTGeometrySequence","CT Geometry Sequence","SQ"
348,"(0018,9329)","CTImageFrameTypeSequence","CT Image Frame Type Sequence","SQ"
349,"(0018,9326)","CTPositionSequence","CT Position Sequence","SQ"
350,"(0018,9314)","CTReconstructionSequence","CT Reconstruction Sequence","SQ"
351,"(0018,9308)","CTTableDynamicsSequence","CT Table Dynamics Sequence","SQ"
352,"(0018,9325)","CTXRayDetailsSequence","CT X-Ray Details Sequence","SQ"
353,"(0018,9352)","CalciumScoringMassFactorDevice","Calcium Scoring Mass Factor Device","FL"
354,"(0018,9351)","CalciumScoringMassFactorPatient","Calcium Scoring Mass Factor Patient","FL"
355,"(0018,9452)","CalculatedAnatomyThickness","Calculated Anatomy Thickness","FL"
356,"(3008,0074)","CalculatedDoseReferenceDescription","Calculated Dose Reference Description","ST"
